Time,Station,Temperature,Moisture,Light,Total_Rainfall,Rainfall,Wind_Direction,PM2.5,PM10,CO,NOx,SO2
31/01/2023 23:59:00,SVDT1,23.3,97.1,0,2276.6,0,156,0.4,0.4,2,0,0
31/01/2023 23:58:00,SVDT1,23.3,97.2,0,2276.6,0,158,0.3,0.3,2,0,0
31/01/2023 23:57:00,SVDT1,23.4,97.3,0,2276.6,0,171,0.2,0.2,2,0,0
31/01/2023 23:56:00,SVDT1,23.4,97.4,0,2276.6,0,183,0.3,0.3,2,0,0
31/01/2023 23:55:00,SVDT1,23.4,97.5,0,2276.6,0,175,0.4,0.4,2,0,0
31/01/2023 23:54:00,SVDT1,23.4,97.5,0,2276.6,0,172,0.3,0.3,2,0,0
31/01/2023 23:53:00,SVDT1,23.4,97.4,0,2276.6,0,214,0.2,0.2,2,0,0
31/01/2023 23:52:00,SVDT1,23.4,97.5,---,2276.6,0,274,0.2,0.2,2,0,0
31/01/2023 23:51:00,SVDT1,23.4,97.4,0,2276.6,0,245,0.3,0.3,2,0,0
31/01/2023 23:50:00,SVDT1,23.4,97.3,0,2276.6,0,240,0.2,0.2,2,0,0
