Time,Station,Temperature,Moisture,Light,Total_Rainfall,Rainfall,Wind_Direction,PM2.5,PM10,CO,NOx,SO2
01/08/2023 00:00:00,SVDT1,26.9,97.8,0,3176.4,0,109,1.6,5,2,0,0
01/08/2023 00:01:00,SVDT1,26.9,97.7,0,3176.4,0,72,1.3,3.4,2,0,0
01/08/2023 00:02:00,SVDT1,26.9,97.7,0,3176.4,0,164,1,1.3,2,0,0
01/08/2023 00:03:00,SVDT1,26.9,97.7,0,3176.4,0,157,1.3,5.8,2,0,0
01/08/2023 00:04:00,SVDT1,26.9,97.6,0,3176.4,0,175,1.5,4.1,2,0,0
01/08/2023 00:05:00,SVDT1,26.9,97.6,0,3176.4,0,182,1.9,10.6,2,0,0
01/08/2023 00:06:00,SVDT1,26.9,97.6,0,3176.4,0,138,1.9,3.8,2,0,0
01/08/2023 00:07:00,SVDT1,26.9,97.6,0,3176.4,0,72,1.2,3.1,2,0,0
01/08/2023 00:08:00,SVDT1,26.9,97.6,0,3176.4,0,191,1.3,2.1,2,0,0
01/08/2023 00:09:00,SVDT1,26.9,97.6,0,3176.4,0,44,2,11.1,2,0,0
01/08/2023 00:10:00,SVDT1,26.9,97.6,0,3176.4,0,124,1.6,5.1,2,0,0
01/08/2023 00:11:00,SVDT1,26.9,97.6,0,3176.4,0,74,1.3,3,2,0,0
01/08/2023 00:12:00,SVDT1,26.9,97.6,0,3176.4,0,134,1.3,2.7,2,0,0
01/08/2023 00:13:00,SVDT1,26.9,97.6,0,3176.4,0,212,1.6,3.6,2,0,0
01/08/2023 00:14:00,SVDT1,26.9,97.6,0,3176.4,0,206,1.7,3.2,2,0,0
01/08/2023 00:15:00,SVDT1,26.9,97.6,0,3176.4,0,197,1.2,2.3,2,0,0
01/08/2023 00:16:00,SVDT1,26.9,97.6,0,3176.4,0,107,0.9,1,2,0,0
01/08/2023 00:17:00,SVDT1,26.8,97.6,0,3176.4,0,185,1.4,2.2,2,0,0
01/08/2023 00:18:00,SVDT1,26.9,97.5,0,3176.4,0,127,1.5,3.5,2,0,0
01/08/2023 00:19:00,SVDT1,26.9,97.5,0,3176.4,0,92,1.5,2.4,2,0,0
01/08/2023 00:20:00,SVDT1,26.9,97.4,0,3176.4,0,119,1.2,1.4,2,0,0
01/08/2023 00:21:00,SVDT1,26.9,97.4,0,3176.4,0,79,1.4,4.5,2,0,0
01/08/2023 00:22:00,SVDT1,26.9,97.3,0,3176.4,0,142,1.7,2.6,2,0,0
01/08/2023 00:23:00,SVDT1,26.9,97.2,0,3176.4,0,94,1.5,4.5,2,0,0
01/08/2023 00:24:00,SVDT1,26.9,97.2,0,3176.4,0,149,1.6,5.8,2,0,0
01/08/2023 00:25:00,SVDT1,26.9,97.2,0,3176.4,0,164,1.6,3.6,2,0,0
01/08/2023 00:26:00,SVDT1,26.9,97.2,0,3176.4,0,110,1.7,2.8,2,0,0
01/08/2023 00:27:00,SVDT1,26.9,97.1,0,3176.4,0,104,1.2,3.2,2,0,0
01/08/2023 00:28:00,SVDT1,26.9,97.1,0,3176.4,0,97,1.3,2.6,2,0,0
01/08/2023 00:29:00,SVDT1,26.9,97.1,0,3176.4,0,106,1.4,3,2,0,0
