Time,Station,Temperature,Moisture,Light,Total_Rainfall,Rainfall,Wind_Direction,PM2.5,PM10,CO,NOx,SO2
30/06/2023 23:59:00,SVDT1,27.3,96.2,0,2985.4,0,94,1.2,2.6,6554,6476.7,6553.4
30/06/2023 23:58:00,SVDT1,27.3,96.2,0,2985.4,0,155,0.6,1.8,6554,6476.7,6553.4
30/06/2023 23:57:00,SVDT1,27.3,96.2,0,2985.4,0,286,1.2,2.2,6554,6476.7,6553.4
30/06/2023 23:56:00,SVDT1,27.3,96.2,0,2985.4,0,285,1,5.5,6554,6476.7,6553.4
30/06/2023 23:55:00,SVDT1,27.3,96.2,0,2985.4,0,297,0.5,2.4,6554,6476.7,6553.4
30/06/2023 23:54:00,SVDT1,27.3,96.3,0,2985.4,0,192,0.9,1,6554,6476.7,6553.4
30/06/2023 23:53:00,SVDT1,27.3,96.3,0,2985.4,0,217,0.9,1,6554,6476.7,6553.4
30/06/2023 23:52:00,SVDT1,27.4,96.3,0,2985.4,0,170,1.1,1.5,6554,6476.7,6553.4
30/06/2023 23:51:00,SVDT1,27.4,96.3,0,2985.4,0,228,0.7,4.9,6554,6476.7,6553.4
30/06/2023 23:50:00,SVDT1,27.4,96.3,0,2985.4,0,245,1.1,1.5,6554,6476.7,6553.4
30/06/2023 23:49:00,SVDT1,27.4,96.2,0,2985.4,0,103,1.5,7.4,6554,6476.7,6553.4
30/06/2023 23:48:00,SVDT1,27.4,96.2,0,2985.4,0,59,0.8,2.1,6554,6476.7,6553.4
30/06/2023 23:47:00,SVDT1,27.4,96.2,0,2985.4,0,194,0.8,6.8,6554,6476.7,6553.4
30/06/2023 23:46:00,SVDT1,27.4,96.2,0,2985.4,0,232,0.9,1,6554,6476.7,6553.4
30/06/2023 23:45:00,SVDT1,27.5,96.2,0,2985.4,0,243,0.9,1.7,6554,6476.7,6553.4
30/06/2023 23:44:00,SVDT1,27.5,96.2,0,2985.4,0,296,0.9,4.2,6554,6476.7,6553.4
30/06/2023 23:43:00,SVDT1,27.5,96.3,0,2985.4,0,206,0.6,1,6554,6476.7,6553.4
30/06/2023 23:42:00,SVDT1,27.5,96.3,0,2985.4,0,204,0.7,4,6554,6476.7,6553.4
30/06/2023 23:41:00,SVDT1,27.5,96.3,0,2985.4,0,225,1.1,6,6554,6476.7,6553.4
30/06/2023 23:40:00,SVDT1,27.5,96.4,0,2985.4,0,100,0.8,1.8,6554,6476.7,6553.4
30/06/2023 23:39:00,SVDT1,27.5,96.4,0,2985.4,0,234,0.9,1.2,6554,6476.7,6553.4
30/06/2023 23:38:00,SVDT1,27.5,96.4,0,2985.4,0,121,0.6,0.9,6554,6476.7,6553.4
30/06/2023 23:37:00,SVDT1,27.5,96.5,0,2985.4,0,263,0.8,2.5,6554,6476.7,6553.4
30/06/2023 23:36:00,SVDT1,27.5,96.5,0,2985.4,0,282,0.7,1.2,6554,6476.7,6553.4
30/06/2023 23:35:00,SVDT1,27.5,96.5,0,2985.4,0,271,0.7,0.8,6554,6476.7,6553.4
30/06/2023 23:34:00,SVDT1,27.5,96.6,0,2985.4,0,165,0.7,0.8,6554,6476.7,6553.4
30/06/2023 23:33:00,SVDT1,27.5,96.6,0,2985.4,0,210,0.8,2.1,6554,6476.7,6553.4
30/06/2023 23:32:00,SVDT1,27.5,96.6,0,2985.4,0,126,0.6,2.6,6554,6476.7,6553.4
30/06/2023 23:31:00,SVDT1,27.5,96.6,0,2985.4,0,102,1.3,6.3,6554,6476.7,6553.4
30/06/2023 23:30:00,SVDT1,27.4,96.6,0,2985.4,0,161,0.7,1.2,6554,6476.7,6553.4
30/06/2023 23:29:00,SVDT1,27.5,96.8,0,2985.4,0,96,0.8,1.4,6554,6476.7,6553.4
